M2015,F2015,M2020,F2020,M2025,F2025,M2030,F2030,M2035,F2035,M2040,F2040,M2045,F2045
0.9957,0.9965,0.9961,0.9968,0.9964,0.9971,0.9967,0.9973,0.9969,0.9975,0.9971,0.9976,0.9972,0.9978
0.9994,0.9994,0.9994,0.9995,0.9995,0.9995,0.9995,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996,0.9996
0.9996,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9998,0.9997,0.9998,0.9998,0.9998,0.9998,0.9998
0.9992,0.9995,0.9993,0.9995,0.9994,0.9996,0.9994,0.9996,0.9995,0.9996,0.9995,0.9997,0.9995,0.9997
0.9981,0.9991,0.9983,0.9992,0.9985,0.9993,0.9986,0.9994,0.9987,0.9994,0.9988,0.9994,0.9989,0.9995
0.9976,0.9989,0.9979,0.9990,0.9982,0.9991,0.9983,0.9991,0.9984,0.9992,0.9985,0.9992,0.9986,0.9993
0.9968,0.9983,0.9972,0.9984,0.9974,0.9985,0.9976,0.9986,0.9978,0.9987,0.9979,0.9987,0.9981,0.9988
0.9952,0.9973,0.9956,0.9974,0.9959,0.9975,0.9962,0.9977,0.9964,0.9978,0.9966,0.9980,0.9968,0.9981
0.9926,0.9958,0.9929,0.9960,0.9933,0.9963,0.9936,0.9965,0.9940,0.9967,0.9944,0.9969,0.9947,0.9971
0.9900,0.9940,0.9907,0.9945,0.9912,0.9949,0.9918,0.9952,0.9923,0.9955,0.9927,0.9958,0.9932,0.9960
0.9869,0.9907,0.9883,0.9916,0.9894,0.9922,0.9901,0.9928,0.9907,0.9932,0.9913,0.9936,0.9918,0.9940
0.9787,0.9851,0.9811,0.9864,0.9828,0.9874,0.9841,0.9883,0.9851,0.9891,0.9860,0.9897,0.9868,0.9903
0.9656,0.9767,0.9694,0.9787,0.9721,0.9804,0.9741,0.9817,0.9758,0.9829,0.9772,0.9839,0.9785,0.9848
0.9477,0.9647,0.9520,0.9672,0.9561,0.9696,0.9593,0.9717,0.9620,0.9736,0.9642,0.9751,0.9662,0.9765
0.9194,0.9450,0.9259,0.9490,0.9307,0.9520,0.9355,0.9552,0.9397,0.9582,0.9432,0.9606,0.9464,0.9629
0.8699,0.9099,0.8837,0.9182,0.8917,0.9236,0.8983,0.9282,0.9047,0.9327,0.9101,0.9366,0.9152,0.9403
0.7918,0.8474,0.8118,0.8615,0.8272,0.8722,0.8374,0.8798,0.8470,0.8871,0.8553,0.8934,0.8632,0.8993
0.6663,0.7364,0.7001,0.7649,0.7223,0.7828,0.7394,0.7965,0.7538,0.8082,0.7662,0.8182,0.7782,0.8278
0.4781,0.5517,0.5291,0.5969,0.5659,0.6319,0.5889,0.6532,0.6097,0.6721,0.6263,0.6866,0.6436,0.7019
0.2774,0.3228,0.3071,0.3508,0.3399,0.3819,0.3658,0.4083,0.3859,0.4280,0.4005,0.4419,0.4148,0.4552
